,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2505,0.05,15,05,04:10:00,2019,입산자실화,산6-1,신흥,아산,배방,충남,15,수요일,05,01:55:00,2019
2506,0.03,14,05,16:30:00,2019,입산자실화,산97,북,천곡,울산,14,화요일,05,15:02:00,2019,
2507,0.15,14,05,15:50:00,2019,건축물화재비화,산24,마룡,양평,용문,경기,14,화요일,05,09:04:00,2019
2508,0.01,14,05,09:53:00,2019,입산자실화,산22-1,하송,포항 북,송라,경북,14,화요일,05,08:30:00,2019
2509,0.3,13,05,23:26:00,2019,입산자실화,산12,가곡,상주,외서,경북,13,월요일,05,20:40:00,2019
2510,0.05,13,05,22:25:00,2019,기타,산3-1,황산,함양,서하,경남,13,월요일,05,19:11:00,2019
2511,0.01,13,05,17:00:00,2019,기타,산28-1,신왕,평택,현덕,경기,13,월요일,05,15:59:00,2019
2512,0.02,13,05,14:30:00,2019,기타,251-7(임),대반,평택,안중,경기,13,월요일,05,13:40:00,2019
2513,0.03,13,05,06:30:00,2019,입산자실화,산21,공암,공주,반포,충남,13,월요일,05,04:30:00,2019
2514,0.1,12,05,23:20:00,2019,기타,산125,양동,김해,주촌,경남,12,일요일,05,21:16:00,2019
2515,0.08,12,05,22:00:00,2019,쓰레기소각,산80-3,금곡,파주,법원,경기,12,일요일,05,20:03:00,2019
2516,0.01,12,05,22:00:00,2019,입산자실화,산50,오남,남양주,오남,경기,12,일요일,05,20:00:00,2019
2517,0.2,12,05,18:00:00,2019,기타,산21-1,삼산,청주 상당,낭성,충북,12,일요일,05,16:32:00,2019
2518,0.01,12,05,14:00:00,2019,쓰레기소각,산35-13,도갑,영암,군서,전남,12,일요일,05,13:21:00,2019
2519,0.1,12,05,12:50:00,2019,기타,산127,가사,정선,신동,강원,12,일요일,05,11:59:00,2019
2520,0.01,12,05,12:51:00,2019,입산자실화,산202,매남,경산,용성,경북,12,일요일,05,11:43:00,2019
2521,0.05,12,05,11:10:00,2019,기타,산44-3,유성,대,대전,12,일요일,05,09:21:00,2019,
2522,0.01,12,05,07:00:00,2019,입산자실화,산114-2,해운대,좌,부산,12,일요일,05,03:18:00,2019,
